0	1   2
309	0.8	-2.7
310	1.4	-0.7
311	2.8	1.1
312	3.4	-0.8
313	-0.8	-7.7
314	-6.5	-10.9
315	-8.1	-13.2
316	-6.0	-13.7
317	1.9	-6.9
318	0.9	-3.7
319	-2.3	-7.6
320	4.1	-5.8
321	4.0	2.3
322	2.9	-1.8
323	-1.2	-3.4
324	-1.8	-5.1
325	1.8	-4.5
326	6.5	1.2
327	6.5	2.8
328	6.2	3.2
329	5.4	1.7
330	5.0	1.9
331	2.8	0.4
332	7.4	0.2
333	6.0	0.0
334	2.2	-1.7
335	5.7	1.5
336	7.8	5.1
337	6.3	4.8
338	6.1	4.1
339	4.3	1.1
340	2.1	0.0
341	0.7	-0.9
342	7.8	-0.1
343	7.4	0.4
344	1.9	-0.7
345	1.9	-3.2
346	2.6	-2.9
347	-0.8	-7.5
348	-4.8	-11.5
349	-0.6	-6.7
350	-1.2	-3.6
351	-0.6	-3.8
352	-2.8	-8.4
353	-5.5	-11.1
354	-5.3	-11.1
355	-6.0	-11.7
356	-5.5	-11.7
357	-4.5	-9.2
358	-3.0	-7.1
359	-4.6	-7.0
360	-2.9	-8.4
361	-6.0	-10.1
362	-3.5	-9.7
363	0.5	-4.9
364	-0.8	-4.1
365	-2.6	-5.8
366	-5.4	-11.0
